timestamp,event_id,event_type,user_id,user_role,action,resource,status,risk_level,ip_address,details
2024-12-11T10:30:00Z,EVT-90125,DATA_ACCESS,USR-001,ANALYST,VIEW,client_portfolio_CL45892,SUCCESS,LOW,192.168.1.45,Routine portfolio review
2024-12-11T10:15:00Z,EVT-90124,PERMISSION_CHANGE,USR-015,ADMIN,MODIFY,user_permissions_USR-042,SUCCESS,MEDIUM,192.168.1.10,Added trading permissions
2024-12-11T09:45:00Z,EVT-90123,FAILED_LOGIN,USR-033,TRADER,LOGIN,auth_system,FAILURE,HIGH,45.33.128.90,Third failed attempt - account locked
2024-12-11T09:30:00Z,EVT-90122,TRANSACTION_APPROVAL,USR-008,MANAGER,APPROVE,wire_transfer_TXN789456,SUCCESS,MEDIUM,192.168.1.22,Wire transfer $500k approved
2024-12-11T09:00:00Z,EVT-90121,REPORT_EXPORT,USR-005,COMPLIANCE,EXPORT,aml_report_Q4_2024,SUCCESS,MEDIUM,192.168.1.18,Quarterly AML report exported
2024-12-11T08:45:00Z,EVT-90120,CONFIG_CHANGE,USR-001,ADMIN,MODIFY,risk_thresholds,SUCCESS,HIGH,192.168.1.10,VaR threshold changed from 75 to 80
2024-12-11T08:30:00Z,EVT-90119,DATA_ACCESS,USR-022,ANALYST,VIEW,sensitive_client_data,SUCCESS,HIGH,192.168.1.55,Access to PII - logged for audit
2024-12-11T08:00:00Z,EVT-90118,SYSTEM_ACCESS,SYS-BATCH,SYSTEM,EXECUTE,daily_reconciliation,SUCCESS,LOW,localhost,Scheduled batch job
2024-12-10T17:30:00Z,EVT-90117,UNAUTHORIZED_ACCESS,USR-041,INTERN,VIEW,executive_compensation,BLOCKED,CRITICAL,192.168.1.88,Attempted access to restricted data
2024-12-10T16:00:00Z,EVT-90116,BULK_DOWNLOAD,USR-012,ANALYST,EXPORT,transaction_history_30days,SUCCESS,HIGH,192.168.1.33,Large data export flagged
2024-12-10T14:30:00Z,EVT-90115,API_ACCESS,EXT-PARTNER,EXTERNAL,QUERY,market_data_feed,SUCCESS,MEDIUM,203.45.67.89,Partner API access
2024-12-10T12:00:00Z,EVT-90114,PASSWORD_RESET,USR-028,TRADER,MODIFY,user_credentials,SUCCESS,LOW,192.168.1.42,Self-service password reset
